City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,santa terezinha,-29.9002,-50.0904,18.06,72,14,6.12,BR,1697300520
113,tsiombe,-25.3,45.4833,24.6,74,27,5.25,MG,1697300520
114,ciudad lazaro cardenas,17.9583,-102.2,28.66,75,36,1.2,MX,1697300348
115,starobin,52.7267,27.4606,20.63,51,5,6.95,BY,1697300521
116,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,73,100,6.71,RU,1697300521
117,san antonio de pale,-1.4014,5.6325,25.77,84,93,6.29,GQ,1697300521
118,yambio,4.5721,28.3955,23.3,86,99,1.29,SS,1697300522
119,velikiy novgorod,58.5167,31.2833,13.4,93,100,6.85,RU,1697300307
120,port elizabeth,-33.918,25.5701,17.16,75,20,4.12,ZA,1697300523
121,maua,-23.6678,-46.4614,17.89,85,100,3.45,BR,1697300488
122,arraial do cabo,-22.9661,-42.0278,22.92,73,75,7.2,BR,1697300524
123,kerikeri,-35.2268,173.9474,16.06,92,94,0.45,NZ,1697300524
124,tateyama,34.9833,139.8667,18.39,89,100,5.6,JP,1697300524
125,thanh hoa,19.8,105.7667,23.87,86,87,1.5,VN,1697300525
126,vila franca do campo,37.7167,-25.4333,22.23,77,53,5.35,PT,1697300525
127,papatowai,-46.5619,169.4708,5.64,89,53,5.69,NZ,1697300525
128,geraldton,-28.7667,114.6,15.23,82,1,2.57,AU,1697300526
129,meadow lakes,61.6247,-149.6011,4.0,96,100,0.0,US,1697300526
130,krasnoural'sk,58.3638,60.0407,4.31,79,91,4.24,RU,1697300527
131,kingston,17.997,-76.7936,32.53,73,20,4.02,JM,1697300271
132,new plymouth,-39.0667,174.0833,13.78,94,20,4.59,NZ,1697300528
133,reggane,26.7158,0.1714,34.59,10,0,4.12,DZ,1697300528
134,bodaybo,57.8506,114.1933,0.27,93,89,1.34,RU,1697300528
135,hawaiian paradise park,19.5933,-154.9731,22.24,94,100,2.57,US,1697300529
136,isangel,-19.55,169.2667,22.81,88,100,3.87,VU,1697300529
137,nova xavantina,-14.6667,-52.35,38.46,27,76,1.73,BR,1697300530
138,palmer,42.1584,-72.3287,14.81,75,100,1.44,US,1697300530
139,zakynthos,37.7914,20.8953,23.62,73,20,0.0,GR,1697300530
140,hermanus,-34.4187,19.2345,17.33,76,81,10.23,ZA,1697300531
141,port lincoln,-34.7333,135.8667,13.62,71,99,5.13,AU,1697300531
142,fisterra,42.9049,-9.2629,22.08,77,78,7.8,ES,1697300532
143,hualien city,23.9769,121.6044,23.57,89,87,3.18,TW,1697300532
144,cole harbour,44.6724,-63.4751,14.96,69,75,9.26,CA,1697300533
145,christchurch,-43.5333,172.6333,8.3,74,23,2.06,NZ,1697300304
146,punta arenas,-53.15,-70.9167,10.06,57,75,10.8,CL,1697300534
147,flying fish cove,-10.4217,105.6791,24.82,94,100,3.6,CX,1697300534
148,mili,6.0815,171.735,28.79,70,99,3.71,MH,1697300535
149,kolonia town,6.964,158.206,25.0,88,100,1.95,FM,1697300535
150,constantia,44.1833,28.65,18.38,79,1,5.43,RO,1697300382
151,grevena,40.0845,21.4274,20.56,48,2,1.86,GR,1697300535
152,porto novo,6.4965,2.6036,26.9,72,85,3.38,BJ,1697300536
153,nawanshahr,31.1167,76.1333,27.21,42,0,2.63,IN,1697300536
154,chandler,33.3062,-111.8412,26.19,28,0,4.12,US,1697300537
155,coari,-4.085,-63.1414,35.19,37,48,0.89,BR,1697300537
156,saint-pierre,-21.3393,55.4781,23.82,73,100,1.54,RE,1697300538
157,maine soroa,13.2114,12.0241,37.59,13,36,6.24,NE,1697300538
158,vendome,47.8,1.0667,15.16,69,100,3.68,FR,1697300538
159,hammerfest,70.6634,23.6821,-1.75,86,87,2.57,NO,1697300539
